0,1.4145,1.1524,1.2699
-1.4145,0,-0.17913,-0.2126
-1.1524,0.17913,0,-0.011366
-1.2699,0.2126,0.011366,0
0,2.5939,1.342,1.9854
-2.5939,0,-1.0493,-0.50253
-1.342,1.0493,0,0.54762
-1.9854,0.50253,-0.54762,0
0,-0.2952,-1.4676,-0.053461
0.2952,0,-1.3543,0.22757
1.4676,1.3543,0,1.3956
0.053461,-0.22757,-1.3956,0
0,2.0347,2.6185,1.6566
-2.0347,0,0.8029,-0.25637
-2.6185,-0.8029,0,-0.9227
-1.6566,0.25637,0.9227,0
0,1.7481,1.1574,1.3242
-1.7481,0,-0.66703,-0.50818
-1.1574,0.66703,0,0.1704
-1.3242,0.50818,-0.1704,0
0,3.0348,2.8529,1.5047
-3.0348,0,-0.12625,-1.3601
-2.8529,0.12625,0,-1.217
-1.5047,1.3601,1.217,0
0,4.3694,3.5871,0.83011
-4.3694,0,-1.2044,-4.0726
-3.5871,1.2044,0,-3.201
-0.83011,4.0726,3.201,0
0,5.7566,6.7431,3.3278
-5.7566,0,0.47269,-3.1559
-6.7431,-0.47269,0,-4.0711
-3.3278,3.1559,4.0711,0
0,2.5939,1.342,1.9854
-2.5939,0,-1.0493,-0.50253
-1.342,1.0493,0,0.54762
-1.9854,0.50253,-0.54762,0
0,2.0347,2.6185,1.6566
-2.0347,0,0.8029,-0.25637
-2.6185,-0.8029,0,-0.9227
-1.6566,0.25637,0.9227,0
0,3.0348,2.8529,1.5047
-3.0348,0,-0.12625,-1.3601
-2.8529,0.12625,0,-1.217
-1.5047,1.3601,1.217,0
0,-0.27951,-1.8401,-0.61508
0.27951,0,-1.7833,-0.42897
1.8401,1.7833,0,1.1614
0.61508,0.42897,-1.1614,0
0,4.3694,3.5871,0.83011
-4.3694,0,-1.2044,-4.0726
-3.5871,1.2044,0,-3.201
-0.83011,4.0726,3.201,0
0,5.7566,6.7431,3.3278
-5.7566,0,0.47269,-3.1559
-6.7431,-0.47269,0,-4.0711
-3.3278,3.1559,4.0711,0
0,0.81467,1.0292,0.37417
-0.81467,0,0.17864,-0.36955
-1.0292,-0.17864,0,-0.54581
-0.37417,0.36955,0.54581,0
0,2.2255,1.4346,1.8038
-2.2255,0,-0.79914,-0.41156
-1.4346,0.79914,0,0.38289
-1.8038,0.41156,-0.38289,0
0,2.5939,1.342,1.9854
-2.5939,0,-1.0493,-0.50253
-1.342,1.0493,0,0.54762
-1.9854,0.50253,-0.54762,0
0,2.0347,2.6185,1.6566
-2.0347,0,0.8029,-0.25637
-2.6185,-0.8029,0,-0.9227
-1.6566,0.25637,0.9227,0
0,1.7481,1.1574,1.3242
-1.7481,0,-0.66703,-0.50818
-1.1574,0.66703,0,0.1704
-1.3242,0.50818,-0.1704,0
0,3.0348,2.8529,1.5047
-3.0348,0,-0.12625,-1.3601
-2.8529,0.12625,0,-1.217
-1.5047,1.3601,1.217,0
0,0.39395,0.18994,-0.012643
-0.39395,0,-0.24067,-0.49742
-0.18994,0.24067,0,-0.23737
0.012643,0.49742,0.23737,0
0,1.4145,1.1524,1.2699
-1.4145,0,-0.17913,-0.2126
-1.1524,0.17913,0,-0.011366
-1.2699,0.2126,0.011366,0
0,2.5939,1.342,1.9854
-2.5939,0,-1.0493,-0.50253
-1.342,1.0493,0,0.54762
-1.9854,0.50253,-0.54762,0
0,4.7397,5.2424,3.4256
-4.7397,0,1.1354,-1.858
-5.2424,-1.1354,0,-2.7198
-3.4256,1.858,2.7198,0
0,3.6018,1.7492,1.6293
-3.6018,0,-1.132,-2.0615
-1.7492,1.132,0,-0.45063
-1.6293,2.0615,0.45063,0
0,-0.2952,-1.4676,-0.053461
0.2952,0,-1.3543,0.22757
1.4676,1.3543,0,1.3956
0.053461,-0.22757,-1.3956,0
0,2.0347,2.6185,1.6566
-2.0347,0,0.8029,-0.25637
-2.6185,-0.8029,0,-0.9227
-1.6566,0.25637,0.9227,0
0,1.7481,1.1574,1.3242
-1.7481,0,-0.66703,-0.50818
-1.1574,0.66703,0,0.1704
-1.3242,0.50818,-0.1704,0
0,3.0348,2.8529,1.5047
-3.0348,0,-0.12625,-1.3601
-2.8529,0.12625,0,-1.217
-1.5047,1.3601,1.217,0
0,4.3694,3.5871,0.83011
-4.3694,0,-1.2044,-4.0726
-3.5871,1.2044,0,-3.201
-0.83011,4.0726,3.201,0
0,5.7566,6.7431,3.3278
-5.7566,0,0.47269,-3.1559
-6.7431,-0.47269,0,-4.0711
-3.3278,3.1559,4.0711,0
