key,SSArat,treatments,hemisphere,broad,stimtype,vocd,PIRd,vocZ,PIRZ,vocFR,PIRFR,BL_FR
DJPComb_mdx 11 1 18_181101_221336_Kilosort&69&10&good,0.0833333333333333,T1,R,1,CON,0.715546057826377,-0.548665519351777,0.383670224380593,-0.236601055531831,3.06366172153318,-1.77777777777778,-0.2
DJPComb_mdx 11 1 18_181101_221336_Kilosort&71&9&good,1.66666666666667,T1,R,0,CON,0.393953615057765,-1.66858123546019,0.150607874988332,-0.339012338717829,1.47214913891854,-1.95555555555556,0.355555555555556
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&100&15&good,1.33333333333333,T1,R,1,CON,0.459659309319625,-2.07953212063024,0.257740247242125,-0.343126772199624,0.298408609240245,-0.933333333333333,-0.166666666666667
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&101&13&good,1,T1,R,0,CON,-0.0107603704872502,-0.208958701712395,0.0809997243321841,0.027283465702982,-0.179045165544147,-0.266666666666667,-0.166666666666667
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&108&7&good,NaN,T1,R,1,CON,0.626969239419819,0.91764594156683,0.525606568038534,0.249958721270322,0.119363443696098,0.133333333333333,-0.1
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&27&13&good,1.66666666666667,T1,R,1,CON,0.122322623507291,-0.30298713324548,-0.06968761530126,-0.0427412321644519,0.059681721848049,-0.266666666666667,-0.1
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&56&13&good,2.25,T1,R,0,CON,0.00522647489454128,0.527805163015357,0.136408595596393,0.203833582845585,-0.0596817218480488,0.266666666666667,-0.0666666666666667
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&87&7&good,0,T1,R,1,CON,0.814672218577952,4.13147299023836,0.558257143773259,1.3281525864651,0.059681721848049,1.73333333333333,-0.6
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&93&9&good,0,T1,R,1,CON,0.528141427097307,0.72340049120573,0.385364715426859,0.188445276189902,0.179045165544147,0.133333333333333,-0.0666666666666667
DJPComb_mdx 11 4 18 trial 2 moved_181104_212837_Kilosort&66&10&good,0.102564102564103,T1,R,1,CON,0.86488177053405,-0.204756278755596,0.514756775744438,-0.107455669552058,1.53978842367967,-1.68,-1.28
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&13&9&good,0.533607545616279,T1,L,1,CON,2.22547294927932,-0.179785733931158,1.62809051264818,0.00709784017393796,5.0581365158068,-1.23076923076923,-0.820512820512821
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,2.66740282887894,T1,L,0,CON,2.59389032434181,-0.363811391141986,1.65280772116278,-0.125573902813913,10.0716396471017,-1.74358974358974,-0.410256410256411
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&138&4&good,0.469079939668175,T1,L,0,CON,4.73970177880107,0.727209048420899,1.39556414921192,0.33011013569679,25.4544876370548,1.23076923076923,-0.538461538461538
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&143&8&good,0.379670947771781,T1,L,0,CON,3.60178875025367,-1.9751319030659,2.04722951964851,-0.683071119398936,32.624271113834,-13.2307692307692,1.02564102564103
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&147&9&good,5.08928571428572,T1,L,1,CON,0.469332445386061,0.166028196239378,0.28555130843348,-0.0472619551531243,0.221155366852321,-0.102564102564103,-0.256410256410256
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&31&10&good,0.42538173728385,T1,L,1,CON,-0.17558961051867,-0.31956205943271,-0.0688650617189044,-0.212976720481859,-0.431798299959665,-0.512820512820513,-0.230769230769231
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,1.68065761018914,T1,L,0,CON,2.03468715644646,-1.0316476021696,0.652212690014662,-0.507196914709937,4.50203615255331,-0.923076923076923,0.41025641025641
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,1.1271708127234,T1,L,0,CON,3.03483976217045,2.20671485238265,1.47223510402722,0.589588077434079,5.13698983506113,2.25641025641026,-0.153846153846154
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&70&10&good,0.610173544905148,T1,L,1,CON,0.509192870005411,0.0883868333583613,0.371453413568125,0.020069995493688,0.116576280115462,-0.717948717948718,-0.871794871794872
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&72&3&good,0.87105457426313,T1,L,1,CON,0.354597162568478,-1.31077959223099,0.123811370609773,-0.672360787913247,1.8769492441058,-1.43589743589744,1.12820512820513
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&79&10&good,0.207491151936569,T1,L,0,CON,2.67665152833473,-0.41866582178259,1.99856028863393,-0.413764421780895,8.34635566360552,-2.56410256410256,-1.38461538461539
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&88&15&good,0.369601874570977,T1,L,0,CON,3.51465249767923,3.16483697777892,0.690598784488102,1.03085885427688,28.165490958607,11.6923076923077,-1.61538461538461
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&89&14&good,0.5,T1,L,1,CON,0.609837576835378,-0.311196049499861,0.430136985389156,-0.293480916375542,0.508762535205567,-0.102564102564103,0.076923076923077
